"","utilisateur","intermediarite","communaute","degre.entrant","degre.sortant","degre","degre.entrant.pondere","degre.sortant.pondere","degre.pondere","excentricite","proximite","proximite.harmonique","PageRank","vecteur.propre","agglomeration","texte","lol","categorie","langue.avant","langue.apres","langue.moi","langue.auto","plus.d.une.occurrence","source","tweets","abonnements","abonnes","pays","province","ville","fuseau.horaire","codeur"
"11","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger my resistance not to is decreasing every day lmao","lmao","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21229","  989","  514","Nouvelle-Zelande","indefini","indefini","13","Shari"
"12","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger lol ur an idiot _Ù÷â_Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21436","  991","  505","Nouvelle-Zelande","indefini","indefini","13","Shari"
"13","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger what did you even mean by this lmao","lmao","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21450","  991","  507","Nouvelle-Zelande","indefini","indefini","13","Shari"
"14","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@ughninny bc Murphy's Law _Ù÷â_Ù÷Õ if it makes you feel any better, I like guys I'll never have a chance with loooool","loooool","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21270","  989","  508","Nouvelle-Zelande","indefini","indefini","13","Shari"
"15","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@ughninny I'll talk to you ?? I'm probably not a good replacement tho lmao","lmao","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21210","  991","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"16","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger @StateOfCaitlin yololololo","yololololo","adjoint","indefini","indefini","indefini","creole haitien","non","Android, Twitter"," 21436","  991","  505","Nouvelle-Zelande","indefini","indefini","13","Shari"
"17","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Sarah_Tran lol when you're not an old tomato _Ù÷ä","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21247","  988","  508","Nouvelle-Zelande","indefini","indefini","13","Shari"
"18","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@evethespy lmao it's cause us kiwis can't really stand cheetos _Ù÷â","lmao","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21328","  989","  511","Nouvelle-Zelande","indefini","indefini","13","Shari"
"19","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger lmaooo can you imagine _Ù÷â_Ù÷â","lmaooo","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21461","  991","  508","Nouvelle-Zelande","indefini","indefini","13","Shari"
"20","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger (was that Nicola aimed at ur mum or mine lol)","lol","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"21","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger (tat would be freaky as shit lmao)","lmao","adjoint","anglais","indefini","anglais","anglais","non","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"22","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger (fully tho lmao, how did we even find each other _Ù÷â_Ù÷â_Ù÷â_Ù÷â)","lmao","adjoint","anglais","anglais","anglais","anglais","non","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"23","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger they're all sitting in my room lmao do ya reckon if i just get into bed they'll get the hint _Ù÷â_Ù÷â","lmao","adjoint","anglais","anglais","anglais","anglais","non","Android, Twitter"," 21461","  991","  508","Nouvelle-Zelande","indefini","indefini","13","Shari"
"24","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger lol yes see i don't do that _Ù÷â so i don't understand why they make such a big deal about it lmao","lmao","adjoint","anglais","indefini","anglais","anglais","oui","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"25","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger lol yes see i don't do that _Ù÷â so i don't understand why they make such a big deal about it lmao","lol","adjoint","indefini","anglais","anglais","anglais","oui","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"26","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger (omg LOL i fully remember you telling me that but i forgot until now hahahahah)","LOL","adjoint","anglais","anglais","anglais","anglais","non","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"27","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@ughninny that would be perfect _Ù÷â how do we make that happen lol","lol","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 21278","  989","  507","Nouvelle-Zelande","indefini","indefini","13","Shari"
"28","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Sarah_Tran lol its more a fancy as hell holiday home _Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21235","  988","  510","Nouvelle-Zelande","indefini","indefini","13","Shari"
"29","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Sarah_Tran lol youre so different to me _Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 21244","  988","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
"30","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@ughninny it's literally one of my resolutions lmao _Ù÷â #sopathetic","lmao","adjoint","anglais","anglais","anglais","anglais","non","Android, Twitter"," 21278","  989","  508","Nouvelle-Zelande","indefini","indefini","13","Shari"
"31","James_Sharza","3.976570e-05","1917"," 1","  7","  8","  1","   8","   9","16","0.1414561","0.1597145","3.517181e-04","0.0039365693","0.000000e+00","@allieeDav wtffff, thanks lol","lol","adjoint","anglais","indefini","anglais","anglais","non","iPhone, Twitter","   865","  136","   83","Canada","Nouvelle-Ecosse","indefini","indefini","Shari"
"32","Huda_el-Ahmad","2.653528e-04"," 302"," 2"," 48"," 50","  5","  85","  90","12","0.2311274","0.2517254","5.310180e-05","0.0363073201","3.826531e-03","@DebsCWard @rarchbarch LOL. Send pics.","LOL","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","  6456"," 1834"," 2119","Nouvelle-Zelande","indefini","indefini","13","Shari"
"33","Huda_el-Ahmad","2.653528e-04"," 302"," 2"," 48"," 50","  5","  85","  90","12","0.2311274","0.2517254","5.310180e-05","0.0363073201","3.826531e-03","@AnthonyByrt @beckeleven LOL yes but couldn't resist! #alternativefacts","LOL","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","  6421"," 1817"," 2111","Nouvelle-Zelande","indefini","indefini","13","Shari"
"34","Huda_el-Ahmad","2.653528e-04"," 302"," 2"," 48"," 50","  5","  85","  90","12","0.2311274","0.2517254","5.310180e-05","0.0363073201","3.826531e-03","@markeasterbrook @MacFinlay @rarchbarch LOL. Never seen that.","LOL","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","  6336"," 1793"," 2067","Nouvelle-Zelande","indefini","indefini","13","Shari"
"35","Huda_el-Ahmad","2.653528e-04"," 302"," 2"," 48"," 50","  5","  85","  90","12","0.2311274","0.2517254","5.310180e-05","0.0363073201","3.826531e-03","@krislane LOL. Should have bought the book but got weekend training from a friend who has.","LOL","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","  6452"," 1834"," 2117","Nouvelle-Zelande","indefini","indefini","13","Shari"
"36","Devon_Gracely","3.250818e-05","1097"," 1","  1","  2","  7","   2","   9"," 3","0.4166667","0.5000000","8.885785e-04","0.0059230223","2.500000e-01","@carolebearo #BellLetsTalk lol end me","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter","  5255","  329","  384","Canada","Nouveau-Brunswick","Fredericton","-5","Shari"
"37","Michael_Acevedo","0.000000e+00","1032"," 0"," 46"," 46","  0","  52","  52"," 1","1.0000000","1.0000000","3.846327e-05","0.0000000000","0.000000e+00","@BossLadyAngg lol yes it was good","lol","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter"," 27777","  522","  602","indefini","indefini","indefini","-5","Shari"
"38","Hayley_Lin","0.000000e+00"," 302"," 0","  1","  1","  0","   5","   5"," 1","1.0000000","1.0000000","5.057377e-05","0.0000000000","0.000000e+00","@twominutesalad ugh, I know I need my own PC! But then it's like, where would I put it lol!","lol","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter","    43","   64","   37","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"39","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@ChrisTheApple1 True. You mean bastards like Durv or Morgs right? lol","lol","adjoint","anglais","indefini","anglais","anglais","non","TweetDeck"," 24972","  163","  298","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"40","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@naimeiy @guardian I'm a human, lol. You know what? I'm actually a markov chain that uses Twitter API.","lol","adjoint","anglais","anglais","anglais","anglais","non","TweetDeck"," 24941","  163","  296","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"41","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@Megapope @verslibre @_KitchenWitch Libertarian? LOL! Funniest joke of the day.","LOL","adjoint","anglais","anglais","anglais","anglais","non","TweetDeck"," 24839","  162","  293","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"42","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@Sargon_of_Akkad @gravgnome individualist communist lol'd","lol'd","verbe","anglais","indefini","anglais","anglais","non","Web, Twitter"," 25051","  163","  298","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"43","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@Tarynosaurus13 @UberFacts I would. Bruce Springsteen sucks. lol","lol","adjoint","anglais","indefini","anglais","anglais","non","TweetDeck"," 24311","  162","  293","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"44","Bruce_Marotta","1.045524e-03"," 302"," 2","219","221","  3","1139","1142","12","0.2079083","0.2366835","5.138466e-05","0.0056156249","4.775669e-03","@TwoSpiritCamila @OtherMe_RL @VICE What does that have to do with anything?Triggered? lol","lol","adjoint","anglais","indefini","anglais","anglais","non","TweetDeck"," 25100","  163","  300","Nouvelle-Zelande","indefini","indefini","indefini","Shari"
"45","D'Andre_Woodard","0.000000e+00","1032"," 0","  7","  7","  0","  13","  13"," 1","1.0000000","1.0000000","3.846327e-05","0.0000000000","0.000000e+00","@BuzzFeedNews Lol, Barrack Obama, Hillary and Bill Clinton Hv Been Fund Billions $$ From Saudi Arabia and Qatar 4 Special Interest Not Trump","Lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter","    81","   54","   10","Canada","Nouveau-Brunswick","Moncton","indefini","Shari"
"46","Xandria_Baca","0.000000e+00","1032"," 0"," 19"," 19","  0","  41","  41"," 1","1.0000000","1.0000000","3.846327e-05","0.0000000000","0.000000e+00","@KurwaStronk fucking 'nope ropes' just made me guffaw and lol uncontrollably","lol","verbe","anglais","anglais","anglais","anglais","non","Web, Twitter"," 38164","  200"," 1805","Etats-Unis","Californie","High Desert","-4","Shari"
"47","Nia_Mcclendon","0.000000e+00","1917"," 0","  1","  1","  0","   1","   1","19","0.1107489","0.1207605","1.729474e-04","0.0000000000","0.000000e+00","@robyngiles yeah fuck her rob lol","lol","adjoint","anglais","indefini","anglais","anglais","non","iPhone, Twitter","   249","   96","  235","Canada","Nouvelle-Ecosse","indefini","indefini","Shari"
"48","Lubna_el-Khawaja","1.733234e-04","1032"," 2"," 40"," 42","  2","  94","  96"," 2","0.6969697","0.7826087","3.966072e-05","0.0024886531","2.628205e-02","@AtheistAdrian @ndislamic @LaloDagach loool","loool","adjoint","indefini","indefini","indefini","indefini","non","Android, Twitter"," 10996"," 1972"," 4980","Canada","Nouvelle-Ecosse","indefini","-8","Shari"
"49","Lubna_el-Khawaja","1.733234e-04","1032"," 2"," 40"," 42","  2","  94","  96"," 2","0.6969697","0.7826087","3.966072e-05","0.0024886531","2.628205e-02","@Lubna_el-Khawaja lol... Read the twitter translation.. _Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","Android, Twitter"," 11047"," 1976"," 4989","Canada","Nouvelle-Ecosse","indefini","-8","Shari"
"50","Lubna_el-Khawaja","1.733234e-04","1032"," 2"," 40"," 42","  2","  94","  96"," 2","0.6969697","0.7826087","3.966072e-05","0.0024886531","2.628205e-02","@ahmedo993 @lsarsour did she block you yet? Lol","Lol","adjoint","anglais","indefini","anglais","anglais","non","Android, Twitter"," 10995"," 1971"," 4973","Canada","Nouvelle-Ecosse","indefini","-8","Shari"
"51","Dominique_Verde","0.000000e+00"," 173"," 0","  1","  1","  0","   1","   1"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@KIXEYESupport lol its because the raid is so hard to do","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter","     5","   16","    3","Canada","Nouveau-Brunswick","Sussex","-5","Shari"
"52","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@AegonTheLast @KaiserBaru @CheGuevaraBlog rofl ""classic liberal""","rofl","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22365"," 2727"," 1689","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"53","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@AegonTheLast lol come on","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22350"," 2726"," 1690","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"54","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@Sargon_of_Akkad lol no it's pretty much every interaction with you","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22402"," 2728"," 1691","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"55","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@jsebean @SpenolPalinUSA @Alex__Katz lol of course you have an anime avatar. of course you do","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 23359"," 2744"," 2007","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"56","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@LeftComfortably in world of warcraft if you wrote lol it translated to kek to the opposing faction","lol","nom","anglais","anglais","anglais","anglais","oui","Web, Twitter"," 23453"," 2747"," 2033","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"57","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@qweed @RubinReport @_ThatGuyT lol gtfo nazi ideology is as refreshing as another britney spears album","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22343"," 2726"," 1689","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"58","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@thewargarurumon @ArmouredSkeptic @Sargon_of_Akkad lol","lol","adjoint","indefini","indefini","indefini","indefini","non","Web, Twitter"," 23387"," 2746"," 2017","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"59","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@grey_socks_ @SpenolPalinUSA lol","lol","adjoint","indefini","indefini","indefini","indefini","non","Web, Twitter"," 22171"," 2724"," 1643","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"60","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@LGrillos lol that's kind of brilliant actually","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22021"," 2723"," 1623","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"61","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@miguelcarvalhu lol no","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 23130"," 2735"," 1847","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"62","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@LarsJessen3 @dylanversity @bibi4Trump @PrisonPlanet @realDonaldTrump lol infowarriors would be hilarious if they didn't vote","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 23288"," 2739"," 1962","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"63","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@DoktorKilla @ademotivator @logicked @ArmouredSkeptic lol i don't even know who this guy is but he has logic in his name so i know its good","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 21908"," 2723"," 1617","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"64","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@CirceoSoter @ChrisRGun lol","lol","adjoint","indefini","indefini","indefini","indefini","non","Web, Twitter"," 21903"," 2723"," 1618","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"65","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@RealRichardVela @rymurphy0523 lol refusing to say nazism is trash is extremely revealing. you're a racist cunt aren't you","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22512"," 2730"," 1704","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"66","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@FrogGod14 lol a Nazi concern trolling me. hope you get punched","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22629"," 2729"," 1712","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"67","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@lor_mich lol","lol","adjoint","indefini","indefini","indefini","indefini","non","Web, Twitter"," 23194"," 2737"," 1863","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"68","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@CranBoonitz @RealLastName @m_m_myers @stillgray lol that person is using the word correctly unintentionally","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22662"," 2729"," 1715","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"69","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@NihilistLemon lol what? you on the Trump train now?","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 21945"," 2723"," 1616","Nouvelle-Zelande","indefini","indefini","-8","Shari"
"70","Briana_Walker-Boykin","0.000000e+00"," 173"," 0","265","265","  0"," 741"," 741"," 1","1.0000000","1.0000000","3.687483e-04","0.0000000000","0.000000e+00","@_Roman_Elite @_ThatGuyT @spinosauruskin lol what is this supposed to prove? it was a good talk. the points made in it were good","lol","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 22583"," 2729"," 1707","Nouvelle-Zelande","indefini","indefini","-8","Shari"
